batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_accuracy
32,0.2,0.99,5,5,0.09312541442465347,94.62890625
32,0.2,0.99,5,10,0.03410299832024612,96.58203125
32,0.2,0.99,5,25,0.016601288369546333,96.6796875
32,0.2,0.99,5,50,0.006541201499911646,96.97265625
32,0.2,0.985,5,5,0.08440142144239507,94.921875
32,0.2,0.985,5,10,0.02369027944436918,96.875
32,0.2,0.985,5,25,0.01720049798923234,96.6796875
32,0.2,0.985,5,50,0.0076792464141423504,97.8515625
32,0.2,0.98,5,5,0.08457772839333241,95.1171875
32,0.2,0.98,5,10,0.025073279046065485,96.97265625
32,0.2,0.98,5,25,0.014100777409349879,97.265625
32,0.2,0.98,5,50,0.006396940058097243,96.875
32,0.2,0.975,5,5,0.0766789052959648,95.01953125
32,0.2,0.975,5,10,0.02939506920124404,95.8984375
32,0.2,0.975,5,25,0.016530677536502482,96.97265625
32,0.2,0.975,5,50,0.008986744879744947,97.36328125
32,0.2,0.99,10,5,0.09881330300021607,94.43359375
32,0.2,0.99,10,10,0.014123070180028056,96.875
32,0.2,0.99,10,25,0.0145502490180855,96.77734375
32,0.2,0.99,10,50,0.004655609194344531,98.14453125
32,0.2,0.985,10,5,0.08447346625577969,95.21484375
32,0.2,0.985,10,10,0.025926915200582396,96.6796875
32,0.2,0.985,10,25,0.011572994471217195,97.65625
32,0.2,0.985,10,50,0.004413281583227217,97.8515625
32,0.2,0.98,10,5,0.0688750331439854,95.1171875
32,0.2,0.98,10,10,0.01678998043143656,96.77734375
32,0.2,0.98,10,25,0.010861803605221211,96.58203125
32,0.2,0.98,10,50,0.0042270657246311506,97.55859375
32,0.2,0.975,10,5,0.08955395707911036,95.21484375
32,0.2,0.975,10,10,0.012688395326491445,95.99609375
32,0.2,0.975,10,25,0.009955346132939061,96.97265625
32,0.2,0.975,10,50,0.003974547159858048,97.36328125
32,0.2,0.99,20,5,0.08508684289990924,95.21484375
32,0.2,0.99,20,10,0.012823659026221625,97.55859375
32,0.2,0.99,20,25,0.006556539416934053,96.77734375
32,0.2,0.99,20,50,0.0031386254696796336,97.55859375
32,0.2,0.985,20,5,0.08414752165868412,96.484375
32,0.2,0.985,20,10,0.01341008844835839,95.8984375
32,0.2,0.985,20,25,0.006585748619710406,97.4609375
32,0.2,0.985,20,50,0.003268866649673631,98.046875
32,0.2,0.98,20,5,0.08070432506327052,95.60546875
32,0.2,0.98,20,10,0.011238908832902477,96.97265625
32,0.2,0.98,20,25,0.008633021145903816,96.97265625
32,0.2,0.98,20,50,0.003440450356497119,98.33984375
32,0.2,0.975,20,5,0.08506698918497811,95.80078125
32,0.2,0.975,20,10,0.03381971084877538,97.36328125
32,0.2,0.975,20,25,0.006365138227430483,97.4609375
32,0.2,0.975,20,50,0.0029452064690801004,97.94921875
32,0.2,0.99,40,5,0.13327516723804486,95.703125
32,0.2,0.99,40,10,0.025568892606825103,96.38671875
32,0.2,0.99,40,25,0.007171799098141491,97.0703125
32,0.2,0.99,40,50,0.002906314433241884,98.046875
32,0.2,0.985,40,5,0.10356344859026527,96.19140625
32,0.2,0.985,40,10,0.012812132300129937,97.265625
32,0.2,0.985,40,25,0.0057631509692097705,97.4609375
32,0.2,0.985,40,50,0.0034088529290941852,97.75390625
32,0.2,0.98,40,5,0.0863170438487238,96.77734375
32,0.2,0.98,40,10,0.01850581759835283,96.6796875
32,0.2,0.98,40,25,0.013199888715675722,96.2890625
32,0.2,0.98,40,50,0.0032397646171351273,97.65625
32,0.2,0.975,40,5,0.10278675206870927,94.62890625
32,0.2,0.975,40,10,0.018156286084966267,95.99609375
32,0.2,0.975,40,25,0.009312813371419907,97.36328125
32,0.2,0.975,40,50,0.0028754017151271303,97.16796875
32,0.1,0.99,5,5,0.06073725388944149,95.3125
32,0.1,0.99,5,10,0.026829957798744242,96.6796875
32,0.1,0.99,5,25,0.008126516302737096,96.58203125
32,0.1,0.99,5,50,0.004390404096494119,97.265625
32,0.1,0.985,5,5,0.06818760184198618,96.09375
32,0.1,0.985,5,10,0.02477663536525021,95.99609375
32,0.1,0.985,5,25,0.010309251037271072,97.0703125
32,0.1,0.985,5,50,0.004111327737104147,97.65625
32,0.1,0.98,5,5,0.0637238626976808,95.01953125
32,0.1,0.98,5,10,0.02244240937490637,95.99609375
32,0.1,0.98,5,25,0.00890632324355344,97.36328125
32,0.1,0.98,5,50,0.004686227707502742,96.97265625
32,0.1,0.975,5,5,0.04841662809314827,95.01953125
32,0.1,0.975,5,10,0.025603818299093594,96.38671875
32,0.1,0.975,5,25,0.005947826464350025,97.36328125
32,0.1,0.975,5,50,0.004351672693621367,96.6796875
32,0.1,0.99,10,5,0.03349881685556223,96.19140625
32,0.1,0.99,10,10,0.014873264731063197,96.97265625
32,0.1,0.99,10,25,0.0046969036407923945,97.36328125
32,0.1,0.99,10,50,0.00265302823871995,97.4609375
32,0.1,0.985,10,5,0.05646720126395424,95.99609375
32,0.1,0.985,10,10,0.017136088750635586,96.484375
32,0.1,0.985,10,25,0.006445043926748137,96.6796875
32,0.1,0.985,10,50,0.002512353806057945,97.94921875
32,0.1,0.98,10,5,0.04451895213437577,95.99609375
32,0.1,0.98,10,10,0.01473213151912205,96.2890625
32,0.1,0.98,10,25,0.0037805963884262987,96.6796875
32,0.1,0.98,10,50,0.002612993106013164,96.875
32,0.1,0.975,10,5,0.043355831034015864,95.703125
32,0.1,0.975,10,10,0.014945050737975786,96.97265625
32,0.1,0.975,10,25,0.004815711558330804,97.16796875
32,0.1,0.975,10,50,0.002216544537106529,97.4609375
32,0.1,0.99,20,5,0.04963373530578489,96.6796875
32,0.1,0.99,20,10,0.008656991125550122,97.0703125
32,0.1,0.99,20,25,0.005006619922816753,97.36328125
32,0.1,0.99,20,50,0.001992255718757709,97.55859375
32,0.1,0.985,20,5,0.03386417961772531,96.2890625
32,0.1,0.985,20,10,0.010594753355719149,96.97265625
32,0.1,0.985,20,25,0.0036109940682460245,97.4609375
32,0.1,0.985,20,50,0.002216329963024085,97.65625
32,0.1,0.98,20,5,0.03223579034364472,96.2890625
32,0.1,0.98,20,10,0.00846296105060416,97.36328125
32,0.1,0.98,20,25,0.005700102178535114,97.4609375
32,0.1,0.98,20,50,0.0020206583878801514,97.55859375
32,0.1,0.975,20,5,0.03118716990148338,96.97265625
32,0.1,0.975,20,10,0.00889072663942352,96.77734375
32,0.1,0.975,20,25,0.0035539875860946873,97.0703125
32,0.1,0.975,20,50,0.0018895492583978922,97.16796875
32,0.1,0.99,40,5,0.04404721803714832,96.38671875
32,0.1,0.99,40,10,0.009469049456412904,96.6796875
32,0.1,0.99,40,25,0.0032692172626654307,97.65625
32,0.1,0.99,40,50,0.0021087044354062526,97.94921875
32,0.1,0.985,40,5,0.037199351705921195,96.484375
32,0.1,0.985,40,10,0.010376889681133131,96.77734375
32,0.1,0.985,40,25,0.005067199162517985,97.55859375
32,0.1,0.985,40,50,0.0018613204635524502,97.65625
32,0.1,0.98,40,5,0.040062873038152855,96.58203125
32,0.1,0.98,40,10,0.008790094607664892,96.38671875
32,0.1,0.98,40,25,0.003226077537362774,97.0703125
32,0.1,0.98,40,50,0.0022121200175800673,97.265625
32,0.1,0.975,40,5,0.03169101866311394,96.6796875
32,0.1,0.975,40,10,0.007765941637180125,97.265625
32,0.1,0.975,40,25,0.004248178305414816,97.16796875
32,0.1,0.975,40,50,0.0019414364960199844,97.265625
32,0.05,0.99,5,5,0.05406668042391539,96.09375
32,0.05,0.99,5,10,0.019870865949740014,95.703125
32,0.05,0.99,5,25,0.008372301055584104,95.80078125
32,0.05,0.99,5,50,0.005100756614779433,96.77734375
32,0.05,0.985,5,5,0.058045662653942905,94.7265625
32,0.05,0.985,5,10,0.02318899461875359,95.703125
32,0.05,0.985,5,25,0.010302894008345902,96.77734375
32,0.05,0.985,5,50,0.004609532208337138,96.875
32,0.05,0.98,5,5,0.05421645561108986,96.2890625
32,0.05,0.98,5,10,0.02760674440364043,96.09375
32,0.05,0.98,5,25,0.010198381884333987,97.265625
32,0.05,0.98,5,50,0.004503705584444105,96.09375
32,0.05,0.975,5,5,0.061760681059211495,95.3125
32,0.05,0.975,5,10,0.019601280099712313,96.2890625
32,0.05,0.975,5,25,0.007881465206854045,96.09375
32,0.05,0.975,5,50,0.005176905701402575,96.875
32,0.05,0.99,10,5,0.03337252294458449,96.19140625
32,0.05,0.99,10,10,0.009280886937553684,96.58203125
32,0.05,0.99,10,25,0.003591673812828958,96.97265625
32,0.05,0.99,10,50,0.002146713851951063,97.0703125
32,0.05,0.985,10,5,0.028940215769844752,97.0703125
32,0.05,0.985,10,10,0.009890781413453321,96.58203125
32,0.05,0.985,10,25,0.0033449320293342075,96.875
32,0.05,0.985,10,50,0.001996461764210835,97.16796875
32,0.05,0.98,10,5,0.030461624877527356,96.97265625
32,0.05,0.98,10,10,0.010682616693278154,97.16796875
32,0.05,0.98,10,25,0.0033961492161033676,97.65625
32,0.05,0.98,10,50,0.0022647171751596033,97.8515625
32,0.05,0.975,10,5,0.03310790389341613,95.8984375
32,0.05,0.975,10,10,0.012148402134887874,97.16796875
32,0.05,0.975,10,25,0.003827380498715987,96.875
32,0.05,0.975,10,50,0.00254615373032478,97.4609375
32,0.05,0.99,20,5,0.03397835944220424,96.58203125
32,0.05,0.99,20,10,0.009427026551216841,96.97265625
32,0.05,0.99,20,25,0.002096602731306727,96.875
32,0.05,0.99,20,50,0.0013429741893196479,97.16796875
32,0.05,0.985,20,5,0.03295008649180333,95.3125
32,0.05,0.985,20,10,0.010270462857248882,97.36328125
32,0.05,0.985,20,25,0.001868567765884412,97.16796875
32,0.05,0.985,20,50,0.0015377848614783337,97.8515625
32,0.05,0.98,20,5,0.030448742826779684,95.99609375
32,0.05,0.98,20,10,0.01025755615128825,96.2890625
32,0.05,0.98,20,25,0.0025992403322986015,96.97265625
32,0.05,0.98,20,50,0.0016027029377097884,97.55859375
32,0.05,0.975,20,5,0.0265356764793396,96.19140625
32,0.05,0.975,20,10,0.007742652934820702,96.484375
32,0.05,0.975,20,25,0.0038825494915557405,97.0703125
32,0.05,0.975,20,50,0.0015000018721135955,97.16796875
32,0.05,0.99,40,5,0.029915945770218968,96.6796875
32,0.05,0.99,40,10,0.004923814241929601,96.77734375
32,0.05,0.99,40,25,0.0026102246802765876,96.77734375
32,0.05,0.99,40,50,0.0012547255102545022,97.0703125
32,0.05,0.985,40,5,0.031171503029142816,96.484375
32,0.05,0.985,40,10,0.006131452789219717,96.58203125
32,0.05,0.985,40,25,0.005347834136569873,98.046875
32,0.05,0.985,40,50,0.0015662299652273457,98.33984375
32,0.05,0.98,40,5,0.026059412958721318,96.6796875
32,0.05,0.98,40,10,0.007694658304409434,97.265625
32,0.05,0.98,40,25,0.0027216452817665415,97.0703125
32,0.05,0.98,40,50,0.0015914789367622386,97.4609375
32,0.05,0.975,40,5,0.026237275974825024,96.19140625
32,0.05,0.975,40,10,0.00860511921873937,96.6796875
32,0.05,0.975,40,25,0.003038957899591575,96.77734375
32,0.05,0.975,40,50,0.001412867747945711,97.65625
32,0.01,0.99,5,5,0.09052634363869826,93.9453125
32,0.01,0.99,5,10,0.048057741671800616,95.1171875
32,0.01,0.99,5,25,0.017411683862408003,96.2890625
32,0.01,0.99,5,50,0.01270575872901827,95.80078125
32,0.01,0.985,5,5,0.09784639717638492,94.7265625
32,0.01,0.985,5,10,0.04852483147010207,95.41015625
32,0.01,0.985,5,25,0.01985800761481126,95.5078125
32,0.01,0.985,5,50,0.012291407190884153,95.60546875
32,0.01,0.98,5,5,0.09126632595062256,95.21484375
32,0.01,0.98,5,10,0.04863955206175645,95.3125
32,0.01,0.98,5,25,0.016279605540136497,95.80078125
32,0.01,0.98,5,50,0.011606173822656274,95.60546875
32,0.01,0.975,5,5,0.09995828086634477,94.7265625
32,0.01,0.975,5,10,0.04729162301619848,94.82421875
32,0.01,0.975,5,25,0.016961577154695987,96.2890625
32,0.01,0.975,5,50,0.011202214067801834,96.2890625
32,0.01,0.99,10,5,0.04700131367892027,95.21484375
32,0.01,0.99,10,10,0.023510501890132825,95.8984375
32,0.01,0.99,10,25,0.0072842613346874715,96.6796875
32,0.01,0.99,10,50,0.0052954967174058155,96.58203125
32,0.01,0.985,10,5,0.046156734538575016,95.1171875
32,0.01,0.985,10,10,0.019273592006415128,96.19140625
32,0.01,0.985,10,25,0.00640536936186254,96.58203125
32,0.01,0.985,10,50,0.005032892452552915,96.97265625
32,0.01,0.98,10,5,0.04894099035362402,95.60546875
32,0.01,0.98,10,10,0.019347931957493226,96.38671875
32,0.01,0.98,10,25,0.007013026416922609,96.6796875
32,0.01,0.98,10,50,0.005459811891739567,96.58203125
32,0.01,0.975,10,5,0.053691113534073034,95.703125
32,0.01,0.975,10,10,0.02270249172113836,96.484375
32,0.01,0.975,10,25,0.008750085102704664,96.58203125
32,0.01,0.975,10,50,0.005410670262140533,96.58203125
32,0.01,0.99,20,5,0.028546905755996704,97.265625
32,0.01,0.99,20,10,0.009465861848245065,96.77734375
32,0.01,0.99,20,25,0.0028374425160388153,97.0703125
32,0.01,0.99,20,50,0.002846627155163636,96.97265625
32,0.01,0.985,20,5,0.022605051424354313,96.58203125
32,0.01,0.985,20,10,0.009027630690485238,96.875
32,0.01,0.985,20,25,0.0032088544596917926,97.4609375
32,0.01,0.985,20,50,0.0024878623521265883,96.875
32,0.01,0.98,20,5,0.02846860266973575,96.484375
32,0.01,0.98,20,10,0.01184686819339792,96.875
32,0.01,0.98,20,25,0.003373473190857718,97.0703125
32,0.01,0.98,20,50,0.0025403710776008667,97.36328125
32,0.01,0.975,20,5,0.03346712302044034,96.38671875
32,0.01,0.975,20,10,0.010562327678625782,97.0703125
32,0.01,0.975,20,25,0.004826543605575959,96.97265625
32,0.01,0.975,20,50,0.0026438382735165457,96.875
32,0.01,0.99,40,5,0.02056304251899322,96.19140625
32,0.01,0.99,40,10,0.007618112382789453,96.875
32,0.01,0.99,40,25,0.0021381122808282575,96.77734375
32,0.01,0.99,40,50,0.0018233625361851107,97.16796875
32,0.01,0.985,40,5,0.020195647389938433,96.38671875
32,0.01,0.985,40,10,0.005885692052232722,97.0703125
32,0.01,0.985,40,25,0.001994186359147231,97.36328125
32,0.01,0.985,40,50,0.0018743852137898405,97.0703125
32,0.01,0.98,40,5,0.019647846849014362,96.2890625
32,0.01,0.98,40,10,0.007563392880062262,96.875
32,0.01,0.98,40,25,0.0021624304313833517,97.4609375
32,0.01,0.98,40,50,0.0016485853612733384,97.265625
32,0.01,0.975,40,5,0.021868843662862975,96.38671875
32,0.01,0.975,40,10,0.006806904135271906,97.16796875
32,0.01,0.975,40,25,0.002032609774265438,97.0703125
32,0.01,0.975,40,50,0.001664802319991092,97.16796875
64,0.2,0.99,5,5,0.05767428301523129,94.55078125
64,0.2,0.99,5,10,0.009971472706645727,95.9375
64,0.2,0.99,5,25,0.007434197578579187,96.81640625
64,0.2,0.99,5,50,0.003289468248995642,97.3046875
64,0.2,0.985,5,5,0.04579510682572921,94.609375
64,0.2,0.985,5,10,0.021904821575929722,96.015625
64,0.2,0.985,5,25,0.006420326830198367,97.44140625
64,0.2,0.985,5,50,0.004237874863358836,97.20703125
64,0.2,0.98,5,5,0.04593267824500799,95.83984375
64,0.2,0.98,5,10,0.012620127781294286,96.62109375
64,0.2,0.98,5,25,0.006130493322387338,96.03515625
64,0.2,0.98,5,50,0.0033454038916776578,96.81640625
64,0.2,0.975,5,5,0.04616110331937671,95.68359375
64,0.2,0.975,5,10,0.01619769543285171,96.03515625
64,0.2,0.975,5,25,0.007266340456282099,96.30859375
64,0.2,0.975,5,50,0.0034756726048265894,97.20703125
64,0.2,0.99,10,5,0.034631901282817124,96.38671875
64,0.2,0.99,10,10,0.006250994184364875,96.71875
64,0.2,0.99,10,25,0.003499351805076003,96.23046875
64,0.2,0.99,10,50,0.0017227331763133406,97.01171875
64,0.2,0.985,10,5,0.03466598655283451,95.546875
64,0.2,0.985,10,10,0.007555184639990329,97.20703125
64,0.2,0.985,10,25,0.00388410416059196,97.109375
64,0.2,0.985,10,50,0.0023140963821982343,97.109375
64,0.2,0.98,10,5,0.023190569495161375,95.64453125
64,0.2,0.98,10,10,0.006221485981096824,96.07421875
64,0.2,0.98,10,25,0.004361670380768677,97.3046875
64,0.2,0.98,10,50,0.002065017770975828,97.109375
64,0.2,0.975,10,5,0.027381756929059822,95.9765625
64,0.2,0.975,10,10,0.004866444030155738,97.109375
64,0.2,0.975,10,25,0.004680338207011422,97.40234375
64,0.2,0.975,10,50,0.0021936778659000992,97.3046875
64,0.2,0.99,20,5,0.022979624301195146,96.71875
64,0.2,0.99,20,10,0.010189517566313346,96.71875
64,0.2,0.99,20,25,0.002191249889632066,97.20703125
64,0.2,0.99,20,50,0.0017295706383883953,96.81640625
64,0.2,0.985,20,5,0.02940714495132367,96.66015625
64,0.2,0.985,20,10,0.005920169265630344,97.59765625
64,0.2,0.985,20,25,0.00394124613609165,97.20703125
64,0.2,0.985,20,50,0.0018826123552086454,97.40234375
64,0.2,0.98,20,5,0.021717243764549494,96.23046875
64,0.2,0.98,20,10,0.0074589879506578045,96.81640625
64,0.2,0.98,20,25,0.0034354308905700844,96.9140625
64,0.2,0.98,20,50,0.001833639569890996,96.9140625
64,0.2,0.975,20,5,0.02365303973046442,95.234375
64,0.2,0.975,20,10,0.005071648893567423,96.9140625
64,0.2,0.975,20,25,0.0023015565996368724,96.71875
64,0.2,0.975,20,50,0.0015325330202467739,97.3046875
64,0.2,0.99,40,5,0.020838977005332708,96.42578125
64,0.2,0.99,40,10,0.004402810898143798,96.81640625
64,0.2,0.99,40,25,0.003709263107118507,96.81640625
64,0.2,0.99,40,50,0.0017839363192518553,96.71875
64,0.2,0.985,40,5,0.022328960184007884,96.09375
64,0.2,0.985,40,10,0.00497702244669199,96.328125
64,0.2,0.985,40,25,0.007219128578901291,96.328125
64,0.2,0.985,40,50,0.0019293611942169566,96.71875
64,0.2,0.98,40,5,0.025914643755803504,95.546875
64,0.2,0.98,40,10,0.004318572586402297,96.62109375
64,0.2,0.98,40,25,0.005042127646505833,96.71875
64,0.2,0.98,40,50,0.0018698631813749672,97.109375
64,0.2,0.975,40,5,0.04122717376798391,96.26953125
64,0.2,0.975,40,10,0.003956225735445817,96.62109375
64,0.2,0.975,40,25,0.0032539255280668537,96.5234375
64,0.2,0.975,40,50,0.0020389946658785144,97.59765625
64,0.1,0.99,5,5,0.05087072402238846,95.44921875
64,0.1,0.99,5,10,0.012681879067172606,95.8203125
64,0.1,0.99,5,25,0.006707574339583516,96.62109375
64,0.1,0.99,5,50,0.0035107052711149055,97.3046875
64,0.1,0.985,5,5,0.04440219330539306,95.44921875
64,0.1,0.985,5,10,0.014711952057977517,96.7578125
64,0.1,0.985,5,25,0.005204719490682085,96.81640625
64,0.1,0.985,5,50,0.002905074407346547,96.5234375
64,0.1,0.98,5,5,0.03961537398397923,95.5859375
64,0.1,0.98,5,10,0.01696790381769339,95.0
64,0.1,0.98,5,25,0.006772973762825131,96.7578125
64,0.1,0.98,5,50,0.0032191531776140135,96.71875
64,0.1,0.975,5,5,0.03911117025713126,95.25390625
64,0.1,0.975,5,10,0.014022393714636565,96.34765625
64,0.1,0.975,5,25,0.00460369727977862,96.7578125
64,0.1,0.975,5,50,0.0034505347749218345,96.7578125
64,0.1,0.99,10,5,0.01993474258730809,96.5234375
64,0.1,0.99,10,10,0.005817059317914148,96.5234375
64,0.1,0.99,10,25,0.0024579426705216368,96.9140625
64,0.1,0.99,10,50,0.0016301530331838876,97.109375
64,0.1,0.985,10,5,0.025414085008203982,95.9765625
64,0.1,0.985,10,10,0.008244773046423992,97.40234375
64,0.1,0.985,10,25,0.0028738569744552176,97.3046875
64,0.1,0.985,10,50,0.0019735108728831012,96.9140625
64,0.1,0.98,10,5,0.02020110435038805,96.62109375
64,0.1,0.98,10,10,0.007165305954714616,96.23046875
64,0.1,0.98,10,25,0.0029249849673360587,96.81640625
64,0.1,0.98,10,50,0.0016384612570206323,97.3046875
64,0.1,0.975,10,5,0.023276356406509876,95.234375
64,0.1,0.975,10,10,0.010888694960623979,96.23046875
64,0.1,0.975,10,25,0.002300504443235695,97.3046875
64,0.1,0.975,10,50,0.0018414981833969554,97.01171875
64,0.1,0.99,20,5,0.026026079975068568,96.328125
64,0.1,0.99,20,10,0.006573227137948076,96.81640625
64,0.1,0.99,20,25,0.001563314599916339,97.40234375
64,0.1,0.99,20,50,0.0013393713024755318,96.62109375
64,0.1,0.985,20,5,0.021598030286530654,96.1328125
64,0.1,0.985,20,10,0.0051842931043356655,96.5234375
64,0.1,0.985,20,25,0.0018638089615851641,97.01171875
64,0.1,0.985,20,50,0.001340691695921123,96.81640625
64,0.1,0.98,20,5,0.01626130174100399,96.71875
64,0.1,0.98,20,10,0.003452110712726911,97.01171875
64,0.1,0.98,20,25,0.0013167028967291116,97.109375
64,0.1,0.98,20,50,0.0012091682242850463,97.109375
64,0.1,0.975,20,5,0.018579434706519047,96.62109375
64,0.1,0.975,20,10,0.0053138110612829526,96.42578125
64,0.1,0.975,20,25,0.0017617169584458073,96.62109375
